Column1,Column2,amount_2013,amount_2014,amount_2015,amount_2016,amount_2017,amount_yr0,amount_yr1,amount_yr2,amount_yr3,amount_yr4,id,first_gift_year,lapsed_amount,recovered_amount,lapsed_count,recovered_count,max_consec_giving_years,total_giving_years,amount_20132,amount_20143,amount_20154,amount_20165,amount_20176,count_2013,count_2014,count_2015,count_2016,count_2017,lapsed_amount_2013,lapsed_amount_2014,lapsed_amount_2015,lapsed_amount_2016,lapsed_amount_2017,upgraded_amount_2013,upgraded_amount_2014,upgraded_amount_2015,upgraded_amount_2016,upgraded_amount_2017,downgraded_amount_2013,downgraded_amount_2014,downgraded_amount_2015,downgraded_amount_2016,downgraded_amount_2017,amount_yr07,amount_yr18,amount_yr29,amount_yr310,amount_yr411,count_yr0,count_yr1,count_yr2,count_yr3,count_yr4,lapsed_amount_yr0,lapsed_amount_yr1,lapsed_amount_yr2,lapsed_amount_yr3,lapsed_amount_yr4,upgraded_amount_yr0,upgraded_amount_yr1,upgraded_amount_yr2,upgraded_amount_yr3,upgraded_amount_yr4,downgraded_amount_yr0,downgraded_amount_yr1,downgraded_amount_yr2,downgraded_amount_yr3,downgraded_amount_yr4,amount_01_2013,amount_02_2013,amount_03_2013,amount_04_2013,amount_05_2013,amount_06_2013,amount_07_2013,amount_08_2013,amount_09_2013,amount_10_2013,amount_11_2013,amount_12_2013,amount_01_2014,amount_02_2014,amount_03_2014,amount_04_2014,amount_05_2014,amount_06_2014,amount_07_2014,amount_08_2014,amount_09_2014,amount_10_2014,amount_11_2014,amount_12_2014,amount_01_2015,amount_02_2015,amount_03_2015,amount_04_2015,amount_05_2015,amount_06_2015,amount_07_2015,amount_08_2015,amount_09_2015,amount_10_2015,amount_11_2015,amount_12_2015,amount_01_2016,amount_02_2016,amount_03_2016,amount_04_2016,amount_05_2016,amount_06_2016,amount_07_2016,amount_08_2016,amount_09_2016,amount_10_2016,amount_11_2016,amount_12_2016,amount_01_2017,amount_02_2017,amount_03_2017,amount_04_2017,amount_05_2017,amount_06_2017,amount_07_2017,amount_08_2017,amount_09_2017,amount_10_2017,amount_11_2017,amount_12_2017,initial,first_gift,second_year,second_with_gap,multi_year,key_multi_year,recovered_multi_year,inconsistent_multi_year ,recovered_key_multi_year,lapsed_after_first,lapsed_after_first_long,lapsed_after_second,lapsed_multi_year,lapsed_long_multi_year,lapsed_key_multi_year,lapsed_long,Column12,,,,,,,,,,,
44800,lapsed_long,0,5000,0,0,0,5000,0,0,0,0,c1d1e09e08361896ed4dd01bd948a38f,1/1/2014,5000,0,2,1,1,1,0,5000,0,0,0,0,1,0,0,0,0,0,5000,0,0,0,0,0,0,0,0,0,0,0,0,5000,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,,,,"IF(EA2=1,$EA$1,IF(EB2=1,$EB$2,IF(EC2=1,$EC$1,""erin"")))",,,,,,,,
1805588,lapsed_long,0,5000,0,0,0,5000,0,0,0,0,fc9fe6ad62463cbfcca0608b4ba0ca61,1/1/2014,5000,0,2,1,1,1,0,5000,0,0,0,0,1,0,0,0,0,0,5000,0,0,0,0,0,0,0,0,0,0,0,0,5000,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,,,,,,,,,,,,
1713669,lapsed_long,0,0,1000,0,0,1000,0,0,0,0,d1afdd846465dd0c878dfc42874880b0,1/1/2015,1000,0,2,1,1,1,0,0,1000,0,0,0,0,1,0,0,0,0,0,1000,0,0,0,0,0,0,0,0,0,0,0,1000,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,,,,IF(E,A,"2=1,$E",A,"$1,","IF(EA2=1,$EA$1,",A,65,"IF(EA2=1,$EA$1,IF(EB2=1,$EB$1,IF(EC2=1,$EC$1,IF(ED2=1,$ED$1,IF(EE2=1,$EE$1,IF(EF2=1,$EF$1,IF(EG2=1,$EG$1,IF(EH2=1,$EH$1,IF(EI2=1,$EI$1,IF(EJ2=1,$EJ$1,IF(EK2=1,$EK$1,IF(EL2=1,$EL$1,IF(EM2=1,$EM$1,IF(EN2=1,$EN$1,IF(EO2=1,$EO$1,"
1632878,lapsed_after_first_long,0,0,0,2000,0,2000,0,0,0,0,28e9e353646f6b7e784f9a01cfeb49da,1/1/2016,2000,0,2,1,1,1,0,0,0,2000,0,0,0,0,1,0,0,0,0,0,2000,0,0,0,0,0,0,0,0,0,0,2000,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,,,,IF(E,B,"2=1,$E",B,"$1,","IF(EB2=1,$EB$1,",B,66,
651129,lapsed_long,0,2500,0,0,0,2500,0,0,0,0,ffea9afcf8fc77e35cd542bef7608a31,1/1/2014,2500,0,2,1,1,1,0,2500,0,0,0,0,1,0,0,0,0,0,2500,0,0,0,0,0,0,0,0,0,0,0,0,2500,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,,,,IF(E,C,"2=1,$E",C,"$1,","IF(EC2=1,$EC$1,",C,67,lapsed_long
215332,lapsed_long,0,7500,0,0,0,7500,0,0,0,0,96484f317ca9ce5ae402a4ffac2ac1c6,1/1/2014,7500,0,2,1,1,1,0,7500,0,0,0,0,1,0,0,0,0,0,7500,0,0,0,0,0,0,0,0,0,0,0,0,7500,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,,,,IF(E,D,"2=1,$E",D,"$1,","IF(ED2=1,$ED$1,",D,68,
1138678,first_gift,0,0,0,0,0,500,0,0,0,0,a6e87109de58d1a2bfeab57cec9d6b9d,1/1/2018,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,500,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,IF(E,E,"2=1,$E",E,"$1,","IF(EE2=1,$EE$1,",E,69,
465123,lapsed_after_first,0,0,0,0,5000,5000,0,0,0,0,e20ea0f8cb0a4776b90387ae08e390bb,1/1/2017,5000,0,2,1,1,1,0,0,0,0,5000,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5000,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5000,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,,,,IF(E,F,"2=1,$E",F,"$1,","IF(EF2=1,$EF$1,",F,70,
1868095,lapsed_after_first_long,0,0,0,2500,0,2500,0,0,0,0,92041c536ec184dbf01134f544ccd869,1/1/2016,2500,0,2,1,1,1,0,0,0,2500,0,0,0,0,1,0,0,0,0,0,2500,0,0,0,0,0,0,0,0,0,0,2500,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,,,,IF(E,G,"2=1,$E",G,"$1,","IF(EG2=1,$EG$1,",G,71,
730816,first_gift,0,0,0,0,0,5000,0,0,0,0,a2506ae4b09b9f5a75865f3a08deb25b,1/1/2018,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5000,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,IF(E,H,"2=1,$E",H,"$1,","IF(EH2=1,$EH$1,",H,72,
