,id,first_gift_year,lapsed_count,recovered_count,max_consec_giving_years,total_giving_years,count_2013,count_2014,count_2015,count_2016,count_2017,count_yr0_x,count_yr1_x,count_yr2_x,count_yr3_x,count_yr4_x,lapsed_amount,recovered_amount,amount_2013,amount_2014,amount_2015,amount_2016,amount_2017,lapsed_amount_2013,lapsed_amount_2014,lapsed_amount_2015,lapsed_amount_2016,lapsed_amount_2017,upgraded_amount_2013,upgraded_amount_2014,upgraded_amount_2015,upgraded_amount_2016,upgraded_amount_2017,downgraded_amount_2013,downgraded_amount_2014,downgraded_amount_2015,downgraded_amount_2016,downgraded_amount_2017,amount_yr0,amount_yr1,amount_yr2,amount_yr3,amount_yr4,count_yr0_y,count_yr1_y,count_yr2_y,count_yr3_y,count_yr4_y,lapsed_amount_yr0,lapsed_amount_yr1,lapsed_amount_yr2,lapsed_amount_yr3,lapsed_amount_yr4,upgraded_amount_yr0,upgraded_amount_yr1,upgraded_amount_yr2,upgraded_amount_yr3,upgraded_amount_yr4,downgraded_amount_yr0,downgraded_amount_yr1,downgraded_amount_yr2,downgraded_amount_yr3,downgraded_amount_yr4,amount_01_2013,amount_02_2013,amount_03_2013,amount_04_2013,amount_05_2013,amount_06_2013,amount_07_2013,amount_08_2013,amount_09_2013,amount_10_2013,amount_11_2013,amount_12_2013,amount_01_2014,amount_02_2014,amount_03_2014,amount_04_2014,amount_05_2014,amount_06_2014,amount_07_2014,amount_08_2014,amount_09_2014,amount_10_2014,amount_11_2014,amount_12_2014,amount_01_2015,amount_02_2015,amount_03_2015,amount_04_2015,amount_05_2015,amount_06_2015,amount_07_2015,amount_08_2015,amount_09_2015,amount_10_2015,amount_11_2015,amount_12_2015,amount_01_2016,amount_02_2016,amount_03_2016,amount_04_2016,amount_05_2016,amount_06_2016,amount_07_2016,amount_08_2016,amount_09_2016,amount_10_2016,amount_11_2016,amount_12_2016,amount_01_2017,amount_02_2017,amount_03_2017,amount_04_2017,amount_05_2017,amount_06_2017,amount_07_2017,amount_08_2017,amount_09_2017,amount_10_2017,amount_11_2017,amount_12_2017,amount_total,count_total,amount_01_yr0,amount_02_yr0,amount_03_yr0,amount_04_yr0,amount_05_yr0,amount_06_yr0,amount_07_yr0,amount_08_yr0,amount_09_yr0,amount_10_yr0,amount_11_yr0,amount_12_yr0,amount_01_yr1,amount_02_yr1,amount_03_yr1,amount_04_yr1,amount_05_yr1,amount_06_yr1,amount_07_yr1,amount_08_yr1,amount_09_yr1,amount_10_yr1,amount_11_yr1,amount_12_yr1,amount_01_yr2,amount_02_yr2,amount_03_yr2,amount_04_yr2,amount_05_yr2,amount_06_yr2,amount_07_yr2,amount_08_yr2,amount_09_yr2,amount_10_yr2,amount_11_yr2,amount_12_yr2,amount_01_yr3,amount_02_yr3,amount_03_yr3,amount_04_yr3,amount_05_yr3,amount_06_yr3,amount_07_yr3,amount_08_yr3,amount_09_yr3,amount_10_yr3,amount_11_yr3,amount_12_yr3,amount_01_yr4,amount_02_yr4,amount_03_yr4,amount_04_yr4,amount_05_yr4,amount_06_yr4,amount_07_yr4,amount_08_yr4,amount_09_yr4,amount_10_yr4,amount_11_yr4,amount_12_yr4,years_donated,perc_years_donated,gift_pattern,donor_profile,behavior_2013,behavior_2014,behavior_2015,behavior_2016,behavior_2017,gainloss_2013,gainloss_2014,gainloss_2015,gainloss_2016,gainloss_2017,gainloss_2014_amt,gainloss_2015_amt,gainloss_2016_amt,gainloss_2017_amt,lifecycle_initial,lifecycle_first_gift,lifecycle_second_year,lifecycle_second_with_gap,lifecycle_multi_year,lifecycle_key_multi_year,lifecycle_recovered_multi_year,lifecycle_inconsistent_multi_year ,lifecycle_recovered_key_multi_year,lifecycle_lapsed_after_first,lifecycle_lapsed_after_first_long,lifecycle_lapsed_after_second,lifecycle_lapsed_multi_year,lifecycle_lapsed_long_multi_year,lifecycle_lapsed_key_multi_year,lifecycle_lapsed_long
1499559,93203abeb8f75454f47eff27caa3c74b,2016-01-01,2,1,1,1,0,0,0,1,0,1,0,0,0,0,10.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,1,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,1.0,0.2,"4,",one_time,none,none,none,new,lapse_new,none,none,none,gain,loss,0.0,0.0,10.0,-10.0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
965391,26ceb88d643427bdd5fbbaabae7276d8,2015-01-01,2,1,1,1,0,0,1,0,0,1,0,0,0,0,10.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,1,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,1.0,0.2,"3,",one_time,none,none,new,lapse_new,none,none,none,gain,loss,none,0.0,10.0,-10.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
1135694,2d705fbfb7d067d4565599217cdc1bc5,2017-01-01,2,1,1,1,0,0,0,0,1,1,0,0,0,0,100.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,1,,,,,,,,,,,,,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,0.2,"5,",one_time,none,none,none,none,new,none,none,none,none,gain,0.0,0.0,0.0,100.0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
1539576,84873466e01c1eb2f2c49c0969eae5b6,2016-01-01,2,1,1,1,0,0,0,1,0,1,0,0,0,0,50.0,0.0,0.0,0.0,0.0,50.0,0.0,0.0,0.0,0.0,0.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50.0,0.0,0.0,0.0,0.0,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50.0,1,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,1.0,0.2,"4,",one_time,none,none,none,new,lapse_new,none,none,none,gain,loss,0.0,0.0,50.0,-50.0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
1228900,51324bab0efb83480572b18f090f6ae0,2014-01-01,4,2,1,2,0,1,0,1,0,1,0,1,0,0,100.0,50.0,0.0,50.0,0.0,50.0,0.0,0.0,0.0,50.0,0.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50.0,0.0,50.0,0.0,0.0,0.01,0.0,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,2,,,,,,,,,,,,,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.4,"2,4,",repeat,none,new,lapse_new,recover,lapse_repeat,none,gain,loss,gain,loss,50.0,-50.0,50.0,-50.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
614281,a8509a10634c4980e654e8988877fb2c,2017-01-01,2,1,1,1,0,0,0,0,1,1,0,0,0,0,25.0,0.0,0.0,0.0,0.0,0.0,25.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.0,0.0,0.0,0.0,0.0,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.0,0.0,0.0,0.0,0.0,0.0,25.0,1,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,25.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,0.2,"5,",one_time,none,none,none,none,new,none,none,none,none,gain,0.0,0.0,0.0,25.0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
640862,a88a5a8f6c72a0ca683aa9cd81972fda,2014-01-01,2,1,1,1,0,1,0,0,0,1,0,0,0,0,15.0,0.0,0.0,15.0,0.0,0.0,0.0,0.0,0.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,0.0,0.0,0.0,0.0,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,1,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.2,"2,",one_time,none,new,lapse_new,none,none,none,gain,loss,none,none,15.0,-15.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
1873960,f8dd4259844c19fb6b80a0ac0ed6a24d,2017-01-01,2,1,1,1,0,0,0,0,1,1,0,0,0,0,50.0,0.0,0.0,0.0,0.0,0.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50.0,0.0,0.0,0.0,0.0,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50.0,0.0,50.0,1,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,0.2,"5,",one_time,none,none,none,none,new,none,none,none,none,gain,0.0,0.0,0.0,50.0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
1397276,235df12b51e02fb48578d4ceccce92fd,2013-01-01,2,1,1,1,1,0,0,0,0,1,0,0,0,0,77.5,0.0,77.5,0.0,0.0,0.0,0.0,0.0,77.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,77.5,0.0,0.0,0.0,0.0,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,77.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,77.5,1,0.0,77.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.2,"1,",one_time,new,lapse_new,none,none,none,gain,loss,none,none,none,-77.5,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
941055,91af97456f691942bf5a44326733e8cd,2014-01-01,2,1,1,1,0,1,0,0,0,1,0,0,0,0,10.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,1,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.2,"2,",one_time,none,new,lapse_new,none,none,none,gain,loss,none,none,10.0,-10.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
