,first_gift_year_year,cohort_yr1_TF,no_donors,amount_yr0,amount_yr1,amount_yr2,amount_yr3,amount_yr4,count_yr0,count_yr1,count_yr2,count_yr3,count_yr4,lapsed_after_first_long,lapsed_after_second,lapsed_multi_year,lapsed_long_multi_year,lapsed_key_multi_year,lapsed_long,cohort_0_first_gift,cohort_1_lapsed_after_first,cohort_1_second_year,cohort_2_lapsed_after_first_long,cohort_2_lapsed_after_second,cohort_2_multi_year,cohort_2_second_with_gap,cohort_3_first_gift,cohort_3_inconsistent_multi_year,cohort_3_key_multi_year,cohort_3_lapsed_after_second,cohort_3_lapsed_long,cohort_3_lapsed_multi_year,cohort_4_first_gift,cohort_4_inconsistent_multi_year,cohort_4_key_multi_year,cohort_4_lapsed_after_first,cohort_4_lapsed_key_multi_year,cohort_4_lapsed_long,cohort_4_lapsed_long_multi_year,cohort_4_lapsed_multi_year,cohort_4_multi_year,cohort_4_recovered_multi_year,cohort_4_second_year,cohort_5_first_gift,cohort_5_inconsistent_multi_year,cohort_5_key_multi_year,cohort_5_lapsed_after_first,cohort_5_lapsed_after_first_long,cohort_5_lapsed_after_second,cohort_5_lapsed_key_multi_year,cohort_5_lapsed_long,cohort_5_lapsed_long_key_multi_year,cohort_5_lapsed_long_multi_year,cohort_5_lapsed_multi_year,cohort_5_multi_year,cohort_5_recovered_key_multi_year,cohort_5_recovered_multi_year,cohort_5_second_with_gap,cohort_5_second_year,cohort_6_first_gift,cohort_6_key_multi_year,cohort_6_lapsed_after_first,cohort_6_lapsed_after_first_long,cohort_6_lapsed_after_second,cohort_6_lapsed_key_multi_year,cohort_6_lapsed_long,cohort_6_lapsed_long_key_multi_year,cohort_6_lapsed_long_multi_year,cohort_6_multi_year,lapsed_amount_yr0,lapsed_amount_yr1,lapsed_amount_yr2,lapsed_amount_yr3,lapsed_amount_yr4,upgraded_amount_yr0,upgraded_amount_yr1,upgraded_amount_yr2,upgraded_amount_yr3,upgraded_amount_yr4,downgraded_amount_yr0,downgraded_amount_yr1,downgraded_amount_yr2,downgraded_amount_yr3,downgraded_amount_yr4,amount_total,count_total,neg_yr
0,2012,TF,-108,-21842.64,-0.0,-64.28,-126.0,-0.0,-108,0,-2,-5,0,0,-1,0,0,0,-103,-108,-108,0,-106,0,0,-2,-4,0,0,-2,-102,0,0,0,0,-4,0,-104,0,0,0,0,0,-3,0,0,0,-3,0,0,-101,0,0,0,0,0,0,-1,0,-1,0,-3,0,-1,0,-103,0,0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-293.28,-11,-1
1,2012,TT,33,3000.0,16421.14,19167.13,8092.47,5416.33,41,916,1637,722,349,1,0,0,9,2,18,33,0,33,0,21,12,0,0,2,5,0,19,7,1,0,4,0,1,18,5,2,0,2,0,0,1,3,1,0,0,1,18,1,7,1,0,0,0,0,0,0,1,0,1,0,2,18,1,9,1.0,0.0,0.0,0.0,0.0,0.0,0.0,14326.14,5948.75,246.31,1.0,0.0,905.0,524.0,11147.97,3307.96,52740.98,3886,1
2,2013,TF,-257939,-17392582.86,-0.0,-1947492.89,-1780321.28,-1714900.24,-327615,0,-25553,-23609,-27478,-6459,-1740,-2464,-2231,0,-236615,-257939,-257939,0,-241786,0,0,-16153,-8968,-4310,0,-11843,-232818,0,-5010,-1453,0,-6773,0,-238198,0,-2412,-1898,0,-2195,-1583,0,-606,-4508,-6459,-1740,0,-236614,0,-2231,-2464,-736,0,-181,-314,-502,0,0,0,0,0,0,0,0,0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-350873.68,-423888.44,-0.0,-0.0,-0.0,-273660.43,-301464.63,-22835297.27,-404255,-1
3,2013,TT,62130,13019180.74,15267703.98,10639814.5,9617948.37,9440854.98,245452,283622,157873,128586,132369,0,0,3168,11909,4766,28354,62130,0,62130,0,36050,26080,0,0,5037,14320,0,31013,11760,2196,0,9878,0,4442,28817,9423,3075,1962,2337,0,853,561,5682,1825,0,0,4766,28354,3924,11909,3168,0,518,199,0,371,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6740520.39,3355505.73,2452956.28,2589107.14,0.0,4491997.15,3786826.85,2539792.45,2321927.22,57985502.57,947902,1
4,2014,TF,-272006,-19384701.32,-0.0,-1720387.1,-1606787.55,-490863.7,-338863,0,-24544,-23842,-7465,0,0,-3099,0,0,-257366,-272006,-272006,0,-256220,0,0,-15786,-8220,-3936,0,-11850,-248000,0,-1902,-582,0,-7307,0,-257366,0,-3099,-837,0,-913,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-346639.39,-71147.12,-0.0,-0.0,-0.0,-253711.02,-281289.86,-22711875.97,-387249,-1
5,2014,TT,48667,6789581.2,7745897.26,4717321.67,4212067.47,1383778.1,122484,131028,65014,62285,19381,0,0,3320,7150,4741,27958,48667,0,48667,0,32928,15739,0,0,4173,7961,0,28755,7778,797,0,3220,0,4741,27958,7150,3320,853,628,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3589978.21,2040239.8,1222682.84,222928.55,0.0,2633662.15,1618257.48,1257254.55,1720450.81,23464867.6,380811,1
6,2015,TF,-309059,-23316118.31,-0.0,-1835616.24,-636792.63,-0.0,-373394,0,-27714,-9260,0,0,-14405,0,0,0,-289004,-309059,-309059,0,-292539,0,0,-16520,-3535,-2115,0,-14405,-289004,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-90023.85,-0.0,-0.0,-0.0,-0.0,-218309.95,-0.0,-25151734.55,-401108,-1
7,2015,TT,46078,6830760.01,8280549.87,5608529.39,1692588.95,0.0,94787,112446,70597,20295,0,0,0,10726,0,0,29018,46078,0,46078,0,30755,15323,0,0,1737,4597,0,29018,10726,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4010482.14,2334629.05,260579.99,0.0,0.0,2560692.28,1665471.64,2361760.54,0.0,20719839.27,277830,1
8,2016,TF,-389060,-27839492.42,-0.0,-763568.62,-0.0,-0.0,-472034,0,-12290,0,0,-380721,0,0,0,0,0,-389060,-389060,0,-380721,0,0,-8338,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-27839492.42,-472034,-1
9,2016,TT,56538,8690722.1,10475760.27,2121971.4,0.0,0.0,130683,177433,33919,0,0,0,46202,0,0,0,0,56538,0,56538,0,46202,10335,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5086255.18,491086.63,0.0,0.0,0.0,3301217.01,3056365.27,0.0,0.0,19166482.37,308116,1
