,cohort,cohort_yr4_TF,no_donors,amount_yr0,amount_yr1,amount_yr2,amount_yr3,amount_yr4,count_yr0,count_yr1,count_yr2,count_yr3,count_yr4,lapsed_after_first_long,lapsed_after_second,lapsed_multi_year,lapsed_long_multi_year,lapsed_key_multi_year,lapsed_long,cohort_0_first_gift,cohort_1_lapsed_after_first,cohort_1_second_year,cohort_2_lapsed_after_first_long,cohort_2_lapsed_after_second,cohort_2_multi_year,cohort_2_second_with_gap,cohort_3_first_gift,cohort_3_inconsistent_multi_year,cohort_3_key_multi_year,cohort_3_lapsed_after_second,cohort_3_lapsed_long,cohort_3_lapsed_multi_year,cohort_4_first_gift,cohort_4_inconsistent_multi_year,cohort_4_key_multi_year,cohort_4_lapsed_after_first,cohort_4_lapsed_key_multi_year,cohort_4_lapsed_long,cohort_4_lapsed_long_multi_year,cohort_4_lapsed_multi_year,cohort_4_multi_year,cohort_4_recovered_multi_year,cohort_4_second_year,cohort_5_first_gift,cohort_5_inconsistent_multi_year,cohort_5_key_multi_year,cohort_5_lapsed_after_first,cohort_5_lapsed_after_first_long,cohort_5_lapsed_after_second,cohort_5_lapsed_key_multi_year,cohort_5_lapsed_long,cohort_5_lapsed_long_key_multi_year,cohort_5_lapsed_long_multi_year,cohort_5_lapsed_multi_year,cohort_5_multi_year,cohort_5_recovered_key_multi_year,cohort_5_recovered_multi_year,cohort_5_second_with_gap,cohort_5_second_year,cohort_6_first_gift,cohort_6_key_multi_year,cohort_6_lapsed_after_first,cohort_6_lapsed_after_first_long,cohort_6_lapsed_after_second,cohort_6_lapsed_key_multi_year,cohort_6_lapsed_long,cohort_6_lapsed_long_key_multi_year,cohort_6_lapsed_long_multi_year,cohort_6_multi_year,lapsed_amount_yr0,lapsed_amount_yr1,lapsed_amount_yr2,lapsed_amount_yr3,lapsed_amount_yr4,upgraded_amount_yr0,upgraded_amount_yr1,upgraded_amount_yr2,upgraded_amount_yr3,upgraded_amount_yr4,downgraded_amount_yr0,downgraded_amount_yr1,downgraded_amount_yr2,downgraded_amount_yr3,downgraded_amount_yr4,amount_total,count_total,neg_yr
0,2012,T,-102,-21579.64,-0.0,-0.0,-0.0,-0.0,-102,0,0,0,0,0,0,0,0,0,-98,-102,-102,0,-102,0,0,0,0,0,0,0,-102,0,0,0,0,0,0,-102,0,0,0,0,0,-3,0,0,0,0,0,0,-99,0,0,0,0,0,0,0,0,-1,0,-3,0,0,0,-98,0,0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-85.0,-3,-1
1,2012,TFFT,-4,-188.0,-0.0,-0.0,-126.0,-0.0,-4,0,0,-5,0,0,-1,0,0,0,-3,-4,-4,0,-4,0,0,0,-4,0,0,0,0,0,0,0,0,-4,0,0,0,0,0,0,0,0,0,0,0,-3,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,0,-1,0,-3,0,0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-144.0,-6,-1
2,2012,TFT,-2,-75.0,-0.0,-64.28,-0.0,-0.0,-2,0,-2,0,0,0,0,0,0,0,-2,-2,-2,0,0,0,0,-2,0,0,0,-2,0,0,0,0,0,0,0,-2,0,0,0,0,0,0,0,0,0,0,0,0,-2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2,0,0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-64.28,-2,-1
3,2012,TT,-18,-2025.0,-1812.0,-0.0,-0.0,-0.0,-23,-30,0,0,0,0,0,0,0,0,-18,-18,0,-18,0,-18,0,0,0,0,0,0,-18,0,0,0,0,0,0,-18,0,0,0,0,0,0,0,0,0,0,0,0,-18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-18,0,0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-512.0,-0.0,-0.0,-0.0,-0.0,-725.0,-0.0,-0.0,-0.0,-1812.0,-30,-1
4,2012,TTFFT,1,50.0,20.0,0.0,0.0,20.0,1,1,0,0,1,1,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30.0,0.0,0.0,0.0,40.0,2,1
5,2012,TTFT,-2,-100.0,-846.76,-0.0,-45.0,-0.0,-3,-4,0,-2,0,0,0,0,-2,0,0,-2,0,-2,0,-2,0,0,0,-2,0,0,0,0,0,0,0,0,0,0,0,-2,0,0,0,0,0,0,0,0,0,0,0,0,-2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-746.76,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-891.76,-6,-1
6,2012,TTT,-5,-120.0,-210.0,-118.0,-0.0,-0.0,-5,-6,-5,0,0,0,0,0,-5,0,0,-5,0,-5,0,0,-5,0,0,0,0,0,0,-5,0,0,0,0,0,0,-5,0,0,0,0,0,0,0,0,0,0,0,0,0,-5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-5,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-115.0,-3.0,-0.0,-0.0,-0.0,-25.0,-95.0,-0.0,-0.0,-328.0,-11,-1
7,2012,TTTFT,2,300.0,250.0,100.0,0.0,735.82,3,2,2,0,3,0,0,0,1,0,0,2,0,2,0,0,2,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,50.0,0.0,0.0,0.0,0.0,100.0,150.0,0.0,0.0,1333.9,9,1
8,2012,TTTT,-1,-20.0,-60.0,-140.0,-80.0,-0.0,-1,-2,-7,-4,0,0,0,0,-1,0,0,-1,0,-1,0,0,-1,0,0,0,-1,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-40.0,-80.0,-0.0,-0.0,-0.0,-0.0,-0.0,-60.0,-0.0,-280.0,-13,-1
9,2012,TTTTT,4,385.0,13222.38,18809.13,7967.47,4660.51,5,871,1623,716,345,0,0,0,0,2,0,4,0,4,0,0,4,0,0,0,4,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,3,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,0,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12862.38,5865.75,246.31,1.0,0.0,25.0,279.0,11087.97,3307.96,48055.32,3815,1
